Column1,timestamp8601,@message,cf_app_name,level,Info
0,"June 17th 2020, 13:29:59.980","""116.179.32.213,",soitrp,info,116.179.32.213
1,"June 17th 2020, 13:29:59.980","""178.154.200.99,",soitrp,info,178.154.200.99
2,"June 17th 2020, 13:29:59.979","""24.106.49.50,",soitrp,info,24.106.49.50
3,"June 17th 2020, 13:29:59.979","""49.36.8.46,",soitrp,info,49.36.8.46
4,"June 17th 2020, 13:29:59.867","""71.202.79.178,",soitrp,info,71.202.79.178
5,"June 17th 2020, 13:29:59.867","""109.129.153.150,",soitrp,info,109.129.153.150
6,"June 17th 2020, 13:29:59.858",\x1b[40m\x1b[32minfo\x1b[39m\x1b[22m\x1b[49m: Microsoft.AspNetCore.Hosting.Internal.WebHost[1],SupportOnlineSecureUrlApi,info, Microsoft.AspNetCore.Hosting.Internal.WebHost[1]
7,"June 17th 2020, 13:29:59.829","""",Support-Client,info,""""
8,"June 17th 2020, 13:29:59.825","""106.202.118.154,",soitrp,info,106.202.118.154
10,"June 17th 2020, 13:29:59.690","""12.217.105.66,",soitrp,info,12.217.105.66
11,"June 17th 2020, 13:29:59.594","""199.216.68.2,",soitrp,info,199.216.68.2
12,"June 17th 2020, 13:29:59.579","""",Support-Client,info,""""
14,"June 17th 2020, 13:29:59.569","""",Support-Client,info,""""
16,"June 17th 2020, 13:29:59.554","""10.135.81.130,",soitrp,info,10.135.81.130
17,"June 17th 2020, 13:29:59.546","      @@@JwtHelper.Validate.Exception:IDX10230: Lifetime validation failed. Delegate returned false, securitytoken: '[PII is hidden]'.",KbArticle-UX,info,"      @@@JwtHelper.Validate.Exception:IDX10230: Lifetime validation failed. Delegate returned false, securitytoken: '[PII is hidden]'."
18,"June 17th 2020, 13:29:59.516","""81.40.35.150,",soitrp,info,81.40.35.150
20,"June 17th 2020, 13:29:59.485",\x1b[41m\x1b[30mfail\x1b[39m\x1b[22m\x1b[49m: Dell.SupportOnline.Cache.DistributedCacheProvider[0],drivers-ux,info, Dell.SupportOnline.Cache.DistributedCacheProvider[0]
